"cgPlaId","row","pos","yrPlanted","ld1996","ld1997","ld1998","ld1999","fl1999","hdCt1999","achCt1999","ld2000","fl2000","hdCt2000","achCt2000","ld2001","fl2001","hdCt2001","ld2002","fl2002","hdCt2002","achCt2002","ld2003","fl2003","hdCt2003","achCt2003","ld2004","fl2004","hdCt2004","achCt2004","ld2005","fl2005","hdCt2005","achCt2005","ld2006","fl2006","hdCt2006","achCt2006","ld2007","fl2007","hdCt2007","achCt2007","ld2008","fl2008","hdCt2008","achCt2008","ld2009","fl2009","hdCt2009","achCt2009","ld2010","fl2010","hdCt2010","achCt2010","ld2011","fl2011","hdCt2011","achCt2011","ld2012","fl2012","hdCt2012","achCt2012","ld2013","fl2013","hdCt2013","achCt2013","ld2014","fl2014","hdCt2014","ld2015","fl2015","hdCt2015","ld2016","fl2016","hdCt2016","ld2017","fl2017","hdCt2017","ld2018","fl2018","hdCt2018"
"1","17.00","959.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","143","1","1","1","141","1","1","1","123","1","1","2","290","1","1","1","64","1","1","1","104","1","1","2","1","0","0","1","0","0","1","0","0","1","0","0"
"2","17.00","958.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","140","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0","1","0","0","1","0","0","1","0","0"
"3","17.00","957.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","256","1","1","2","327","1","1","2","444","1","1","4","1051","1","1","3","719","1","1","6","1157","1","1","2","453","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"4","17.00","956.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","230","1","0","0","0","1","0","0","0","1","1","1","204","1","0","0","0","1","0","0","0","1","0","0","0","1","1","4","651","1","0","0","0","1","1","2","258","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1"
"5","17.00","955.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","146","1","0","0","0","1","1","1","152","1","0","0","0","1","1","2","287","1","1","1","88","1","1","1","103","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"6","17.00","954.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","11","1","0","0","0","1","0","0","0","1","0","0","0","1","1","2","408","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0"
"7","17.00","953.00","1996","1","1","1","1","0","0","0","1","1","1","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","17.00","952.00","1996","1","1","1","1","0","0","0","1","1","1","205","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","17.00","951.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","25","1","0","0","0","1","1","1","167","1","0","0","0","1","1","2","330","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","17.00","950.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","17.00","949.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","1","47","1","1","0","0","1","0","0","0","1","0","0","1","1","2","1","0","0","1","0","0","1","0","0"
"12","17.00","948.00","1996","1","1","1","1","1","1","159","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","102","1","0","0","0","1","1","2","179","1","0","0","0","1","1","0","0","1","1","1","101","1","1","2","325","1","0","0","0","1","1","1","133","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1"
"13","17.00","947.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","94","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"14","17.00","946.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","126","1","0","0","0","1","1","1","84","1","0","0","0","1","1","1","165","1","1","1","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","17.00","945.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","1","234","1","1","1","236","1","1","3","500","1","0","0","0","1","1","2","341","1","0","0","0","1","1","2","350","1","1","3","445","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0"
"16","17.00","944.00","1996","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","17.00","943.00","1996","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","17.00","942.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","2","276","1","0","0","0","1","1","2","287","1","1","1","185","1","1","4","578","1","1","2","263","1","1","3","606","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","0","0"
"19","17.00","941.00","1996","1","1","1","1","1","1","172","1","1","2","519","1","0","0","1","0","0","0","1","1","1","173","1","1","2","318","1","1","3","468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","17.00","940.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","2","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"21","17.00","939.00","1996","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","17.00","938.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","288","1","0","0","0","1","1","2","450","1","1","1","158","1","1","0","0","1","0","0","0","1","1","2","1","0","0","1","0","0","1","0","0","1","0","0"
"23","17.00","937.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","17.00","936.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","23.00","959.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","150","1","0","0","0","1","1","1","236","1","0","0","0","1","1","2","150","1","1","1","168","1","0","0","0","1","1","2","291","1","0","0","0","1","1","2","325","1","0","0","0","1","1","1","180","1","0","0","1","1","1","1","0","0","1","0","0","1","0","0"
"26","23.00","958.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","73","1","1","3","538","1","0","0","0","1","0","0","0","1","1","6","1072","1","1","2","505","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","23.00","957.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","2","360","1","1","3","433","1","1","2","345","1","1","2","307","1","1","6","828","1","1","4","639","1","1","5","819","1","1","9","1383","1","1","1","132","1","1","7","1065","1","0","0","0","1","0","0","0","1","0","0","1","1","2","1","0","0","1","0","0","1","0","0"
"28","23.00","956.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","203","1","0","0","0","1","1","4","681","1","0","0","0","1","1","4","497","1","1","1","164","1","1","6","984","1","0","0","0","1","1","2","239","1","1","6","745","1","1","0","0","1","1","1","122","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0"
"29","23.00","955.00","1996","1","1","1","1","0","0","0","1","1","1","229","1","0","0","1","1","2","370","1","1","1","174","1","1","3","704","1","0","0","0","1","1","4","1127","1","1","2","441","1","1","5","1107","1","1","2","350","1","1","2","365","1","1","1","229","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","2","1","0","0","1","1","1"
"30","23.00","954.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","2","384","1","1","4","897","1","1","4","729","1","1","6","1329","1","1","6","808","1","1","8","1196","1","1","1","121","1","0","0","0","1","1","2","290","1","1","2","254","1","1","0","0","1","1","5","1022","1","1","1","1","1","3","1","0","0","1","0","0","1","0","0"
"31","23.00","953.00","1996","1","1","1","1","0","0","0","1","1","2","285","1","0","0","1","1","3","395","1","1","2","250","1","1","3","477","1","1","1","235","1","0","0","0","1","1","1","161","1","1","2","224","1","1","1","79","1","0","0","0","1","0","0","0","1","1","1","78","1","1","2","222","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"32","23.00","952.00","1996","1","1","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","244","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","3","501","1","0","0","0","1","1","1","182","1","0","0","0","1","1","3","464","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"33","23.00","951.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","237","1","1","4","811","1","1","3","586","1","1","1","257","1","0","0","0","1","1","1","259","1","0","0","0","1","1","1","214","1","1","2","493","1","0","0","0","1","1","0","0","1","1","1","192","1","1","3","1","1","1","1","0","0","1","0","0","1","0","0"
"34","23.00","950.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","1","2","412","1","0","0","0","1","1","1","172","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","150","1","0","0","0","1","0","0","0","1","1","1","101","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0"
